sku,name,nature,category,brand,sale_price,location,min_stock,barcode,unit,notes
000001,Kit LC,PRODUCTO_STOCKEABLE,Estuche LC,,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#883@2026-08-10
000002,Estuche LC,PRODUCTO_STOCKEABLE,Estuche LC,,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7450@2026-08-03 | PILAR=P2 - Inventario.xlsx#882@2026-08-10
000003,Antideslizantes,PRODUCTO_STOCKEABLE,Sujetadores,Proray,,,,,UNIDAD,variante en ASUNCION (PC - Inventario.xlsx fila 8449): Antideslizante || origen: ASUNCION=PC - Inventario.xlsx#8449@2026-08-03 | PILAR=P2 - Inventario.xlsx#1041@2026-08-10
000004,Cordon Proray,PRODUCTO_STOCKEABLE,Sujetadores,Proray,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#1042@2026-08-10
000005,Mostacillas,PRODUCTO_STOCKEABLE,Sujetadores,Proray,,,,,UNIDAD,"naturaleza por evidencia: 000012 Mostacilla, misma marca Proray, en Sujetadores en PC y P2 (el archivo la tenía en «Compostura») || origen: PILAR=P2 - Inventario.xlsx#853@2026-08-10"
000006,Goma Niño,PRODUCTO_STOCKEABLE,Sujetadores,Proray,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8425@2026-08-03 | PILAR=P2 - Inventario.xlsx#1043@2026-08-10
000007,Goma Niño,PRODUCTO_STOCKEABLE,Sujetadores,Proray,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8450@2026-08-03 | PILAR=P2 - Inventario.xlsx#1035@2026-08-10
000008,Cordon,PRODUCTO_STOCKEABLE,Sujetadores,Proray,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8451@2026-08-03 | PILAR=P2 - Inventario.xlsx#1038@2026-08-10
000009,Goma Deportiva,PRODUCTO_STOCKEABLE,Sujetadores,Proray,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8452@2026-08-03 | PILAR=P2 - Inventario.xlsx#1039@2026-08-10
000010,LIMPIA CRISTAL,PRODUCTO_STOCKEABLE,Limpia Cristales,Óptica Puppilent`s,,,,,UNIDAD,"STOCK_INITIAL_PENDING_PHYSICAL_VERIFICATION en ASUNCION: SOURCE_REPORTED_QUANTITY=2860 (2.860 declarados. Decisión humana: las fuentes que lo repiten comparten origen, así que no son confirmación física independiente. La cantidad espera un conteo) || origen: ASUNCION=PC - Inventario.xlsx#8397@2026-08-03 | PILAR=P2 - Inventario.xlsx#1021@2026-08-10"
000011,Sujetador,PRODUCTO_STOCKEABLE,Sujetadores,Óptica Puppilent`s,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8453@2026-08-03 | PILAR=P2 - Inventario.xlsx#1036@2026-08-10
